Count,dimA,dimB
0,0.8871428571428572,0.9
1,1.4748913830641006,2.9383635074716024
2,1.1040123945621891,2.6570849648071255
3,1.5822645873841064,3.1665657699643956
4,1.3826809583750916,3.1257734553031113
5,2.6989360148482398,1.0759554368285038
